"序号","试题内容","正确选项","A","B","C","D",""
"210","《国铁客规》规定：运行中断，列车不能继续运行时，应妥善安排被阻旅客，及时告知相关出行信息。","A","对","错","","",""
"211","《国铁客规》规定：运行中断，旅客可以按照铁路运输企业的安排（），退票按照《客规》第五十一条办理。","ABC","返回发站","中途站退票","绕道旅行","等候通车",""
"212","《国铁客规》规定：铁路运输企业组织原列车绕道运输时，旅客()，但中途下车铁路旅客运输合同即履行终止。","A","原票不补不退","补收票价差额","退还票价差额","重新购票",""
"213","《国铁客规》规定：由于运行中断影响旅行，旅客要求出具证明时，车站应开具文字证明。","A","对","错","","",""
"214","《国铁客规》规定：在铁路运送期间旅客发生（）时，铁路运输企业应当尽力采取救助措施并做好记录。","ABC","急病","分娩","遇险","换乘",""
"215","《国铁客规》规定：铁路运输企业应当对铁路运送期间发生的旅客人身损害承担赔偿责任。","A","对","错","","",""
"216","《国铁客规》规定：旅客人身损害是（），铁路运输企业不承担赔偿责任。","AB","旅客自身健康原因造成的","铁路运输企业证明伤亡是旅客故意、重大过失造成的","旅客运送期间造成的","铁路运输企业造成的",""
"217","《国铁客规》规定：在铁路运送期间因第三人原因造成旅客人身损害的，由（）承担赔偿责任。","A","第三人","铁路运输企业","旅客","客运",""
"218","《国铁客规》规定：在铁路运送期间造成旅客人身损害的，铁路运输企业有过错的，应当在能够防止或者制止损害的范围内承担相应的补充赔偿责任。","A","对","错","","",""
"219","《国铁客规》规定：在铁路运送期间造成旅客人身损害的，铁路运输企业有过错的，（）。","A","铁路运输企业承担补充赔偿责任后，有权向第三人追偿","铁路运输企业承担补充赔偿责任","无权向第三人追偿","全部向第三人追偿",""
"220","《国铁客规》规定：在铁路运送期间发生旅客携带品毁损、灭失时，铁路运输企业过错造成的，应当承担赔偿责任。","A","对","错","","",""
"221","《国铁客规》规定：在铁路运送期间发生旅客携带品毁损、灭失时，铁路运输企业过错造成的，旅客证明其确已携带进站乘车，且能够确定携带品价格的，（）。","AB"," 旅客出具发票（或者其他有效证明）证明购买价格时，以扣除物品合理折旧、损耗后的净值予以赔偿","以处理单位所在地价格评估机构确定的物品价格予以赔偿","旅客声明价格","铁路运输企业预估价格",""
"222","《国铁客规》规定：发生旅客人身损害事故时，旅客可向（）要求赔偿。","AB","事故发生站","事故处理站","上车站","下车站",""
"223","《国铁客规》规定：旅客在车站发现携带品损失时，应当（）向发生站声明；在列车上发现时，应当在下车前声明，由列车长开具客运记录交到站处理。","A","在离开车站前","提前","立即","及时",""
"224","《国铁客规》规定：旅客在车站发现携带品损失，要求赔偿时，应当按照《客规》第九十七条规定，提交（）等有关证明。","ABC","携带品内容","携带品价格","携带进站乘车","携带品照片",""
"225","《国铁客规》规定：《客规》是旅客运输合同组成部分，旅客和铁路运输企业应当共同遵照执行。","A","对","错","","",""
"226","《国铁客规》规定：委托国铁集团及所属运输企业管理所辖线路的非控股铁路运输企业办理境内旅客运输时，以及地方铁路运输企业与国铁集团办理境内旅客过轨运输时，均应按照约定执行《客规》。","A","对","错","","",""
"227","《国铁客规》规定：车站的启用、封闭和营业范围的变更，于实施前通过（）公布。","AB","车站营业场所","12306网站","客服中心","车站进站口",""
"228","《国铁客规》规定：车站有关营业处所应有（）等内容。","ABC","营业时间","旅客旅行须知","列车时刻","票价表",""
"229","《国铁客规》规定：票价、运价和杂费按规定执行明码标价。","A","对","错","","",""
"230","《国铁客规》规定：车站有关营业处所相关规定遇有变动，须于（）公布。","A","实施前","实施后","及时","按时",""
"231","《国铁客规》规定：车站有关营业处所应有（）等内容，票价、运价和杂费按规定执行明码标价。","ABCD","营业时间、列车时刻","铁路旅客购票须知","铁路旅客旅行须知","铁路旅客乘车安全须知",""
"232","《国铁客规》规定：中国铁路客户服务中心服务网站为（）。","A","12306网站","铁路客运网站","12316网站","客运服务网站",""
"233","《国铁客规》规定：中国铁路客户服务中心服务服务电话为（）。","A","12306","12301","13206","12316",""
"234","《国铁客规》规定：中国铁路客户服务中心服务邮箱为（）。","A","kyfw@12306.cn","kfzx@12306.cn","tlky@12306.cn","tlfw@12306.cn",""
"235","《国铁客规》规定：中国铁路客户服务中心为国铁集团设立的全国统一客服服务中心，受理（）等业务。","ABC","旅客投诉","旅客建议","旅客咨询","行李托运",""
"236","《客规》授权（）负责具体解释工作。","A","国铁集团客运部","交通运输部","铁路运输企业","国铁集团",""
"237","《客规》自（）起施行。","B","2024年7月1日","2024年9月1日","2024年10月1日","2024年12月1日",""
"238","《客运电梯管理办法》规定：车站电梯防护人员、相关运营服务人员及其他工作人员发现旅客非文明乘梯、影响电梯安全稳定运行等行为要（  ）。","A","及时制止","及时说服教育","立即停用","禁止使用",""
"239","《客运电梯管理办法》规定：客运人员发现紧急情况时，立即按压扶梯急停开关，关停扶梯。","A","对","错","","",""
"240","《客运电梯管理办法》规定：客运电梯管理工作应坚持（ )的原则，积极采取先进技术和科学管理手段，提高客运电梯使用安全和管理水平，增强事故防范和应急处置能力。","ABCD","安全第一","科学设置","方便使用","节能环保",""
"241","《客运电梯管理办法》规定：客运电梯是指铁路客运车站为旅客服务的电梯，包括(  )等。","BCD","办公和生产用电梯","垂直电梯","自动扶梯","自动人行道",""
"242","《客运电梯管理办法》规定：客运高峰时段，使用单位要在关键位置安排专人（）。","ABC","进行电梯防护","疏导客流","加强乘客文明乘梯宣传","引导旅客安全乘梯",""
"243","《客运车站站内作业车辆管理办法》规定，作业车辆是指服务于客运生产或与客运生产相关的，在客运车站候车室、行包房、站台等站内客运场所作业的各类（）。","ABC","机动车辆","电动车辆","人力车辆","轮椅",""
"244","《客运车站站内作业车辆管理办法》规定，根据作业场所不同，作业车辆分为（）。","AB","站台作业车辆","室内作业车辆","轮椅","婴儿车",""
"245","《客运车站站内作业车辆管理办法》规定，除（  ）车辆外，其他车辆一律不得进入站内。","ABCD","生产用车辆","后勤保障车辆","经营服务车辆","施工检修车辆",""
"246","《客运车站站内作业车辆管理办法》规定，客运站段应与使用单位签订作业车辆安全监管协议，协议按照自然年一年一签，协议中必须明确进站作业车辆（   ）等。","ABCD","类型、数量","编号（车牌号）","装载、停放、走行线路","双方职责以及安全管理要求",""
"247","《客运车站站内作业车辆管理办法》规定，作业车辆在站台上不得侵越（   ），不得在斜坡或平过道上停留。","C","黄线","站台边缘","站台安全线","车辆",""
"248","《客运车站站内作业车辆管理办法》规定，作业车辆在地道内行驶时，必须开灯；遇转弯时（  ）。","AB","必须鸣笛","减速慢行","按原速度行驶","无需鸣笛",""
"249","《客运车站站内作业车辆管理办法》规定，作业车辆需通过平过道时，必须有专人引导，通过前必须在站台停车线前停车，并严格执行 (   )制度。","ABCD","一停","二看","三防护","四通过",""
"250","《客运车站站内作业车辆管理办法》规定，站台旅客乘降作业期间，乘降区域内禁止作业车辆移动。","A","对","错","","",""
"251","《客运车站站内作业车辆管理办法》规定，紧邻站台的线路有列车（含机车、车底）进入或驶出前5min，所靠站台一侧（以站台中心线为界）停止车辆移动。待列车（含机车、车底）通过或停车后，方可恢复作业。","A","对","错","","",""
"252","《客运车站站内作业车辆管理办法》规定，行邮牵引车作业时，牵引拖车重车不超过4辆、空车不超过5辆；混编时，不超过4辆，重车在后空车在前；严禁行驶中摘挂拖车。","B","对","错","","",""
"253","《客运车站站内作业车辆管理办法》规定，行邮拖车重车在行驶时，应派人押运，防止货物甩落。押运人员只允许在（   ），防护人员必须面向前方，双手紧握护栏，其余拖车严禁坐、卧、站人，拖车连接部位禁止人员站立。","D","拖车中部防护","拖车中部站立防护","最后一辆拖车尾部防护","最后一辆拖车尾部站立防护",""
"254","《客运车站站内作业车辆管理办法》规定，垃圾清运车辆必须采用密闭或加装盖网方式运输。","A","对","错","","",""
"255","《客运车站站内作业车辆管理办法》规定，装载行包、邮件、餐料、商品的车辆通过平交道口时，（  ）。","BC","可不加盖上封网","必须采取防物品掉落措施","并有专人防护引导","不得停留",""
"256","《客运车站站内作业车辆管理办法》规定，站台上非作业时段原则上不得存放作业车辆。","A","对","错","","",""
"257","《客运车站站内作业车辆管理办法》规定，作业时段在站台停放时，作业车辆应（   ）现场有人防护，不得影响旅客通行，不得占用应急疏散及其他通道。","ABCD","保持与线路平行","顺向摆放","采取好制动防溜措施","拖车要连挂整齐，不得侵入站台安全线，",""
"258","《客运车站站内作业车辆管理办法》规定，站台作业的非机动车辆要做到人不离车，加强防护。","A","对","错","","",""
"259","《客运车站站内作业车辆管理办法》规定，严禁人力车辆乘坐扶梯作业，严禁在人力车辆上站立、蹬地滑行。","A","对","错","","",""
"260","《太原局集团有限公司客运服务质量监督检查管理办法》所规定的服务质量问题，系指客运站车现场服务、管理过程中发生的（    ）等影响旅客运输服务质量的问题，以及有损集团公司企业形象的反映。","ABCD","设备设施状态不良","站车环境脏乱差","职工作业脱标减序","管理人员作用发挥不好",""
"261","《太原局集团有限公司客运服务质量监督检查管理办法》所规定的服务质量问题，系指违反《铁路旅客运输服务质量规范》，导致旅客（    ）的问题，以及有损集团公司企业形象的反映。","ABCD","感觉不舒适","感受不温馨","体验不美好","影响旅客运输服务质量",""
"262","《太原局集团有限公司客运服务质量监督检查管理办法》规定   服务质量问题分为三级。即：（   ）。","ABD","第一级：服务质量重大问题；","第二级：服务质量严重问题；","第二级：服务质量重点问题","第三级：服务质量一般问题",""
"263","《太原局集团有限公司客运服务质量监督检查管理办法》规定 服务质量一般问题分为：（     ）。","ABC","服务质量一般A类问题;","服务质量一般B类问题；",".服务质量一般C类问题；",".服务质量一般D类问题。",""
"264","《太原局集团有限公司客运服务质量监督检查管理办法》规定（      ）造成严重不良影响的 ，为服务质量重大问题。","ABCD","旅客投诉","货主投诉","新闻媒体曝光","舆情反映",""
"265","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（     ）为服务质量重大问题。","AB"," 责任造成旅客、货主严重伤害但未构成事故的","利用职权勒卡、索要旅客、货主钱物，情节严重的；","站、车存在严重服务质量问题隐患（安全、治安、饮食），但尚未导致责任事件的。","国铁集团网络监察动态通报（未定性）的问题",""
"266","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（     ）为服务质量重大问题。","AB","销售国家禁止销售的饮食品，但未造成事故的；","站、车工作人员在工作中辱骂或殴打旅客、货主造成严重不良影响或严重伤害但未构成事故的","销售的饮食品有效期过期，","所售预包装食品不符合集团公司要求的；",""
"267","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（    ）为服务质量重大问题。","ABC","责任造成旅客、货主财产损坏情节严重的；","责任造成旅客、货主财产丢失","责任造成旅客、货主财产被盗，情节严重的；","责任造成旅客、货主财产损坏、丢失、被盗，情节较轻的",""
"268","《太原局集团有限公司客运服务质量监督检查管理办法》规定：(    )为服务质量重大问题。。","AB","违反国家和铁路有关收费标准、规定，乱收费造成严重不良影响的","违反国家和铁路有关收费标准、规定，乱加价造成严重不良影响的","站、车工作人员在工作中与货主发生争吵造成不良影响的；","站、车工作人员在工作中与旅客发生争吵造成不良影响的；",""
"269","《太原局集团有限公司客运服务质量监督检查管理办法》规定：(   )在社会上造成较坏影响的；为服务质量严重问题。","ABCD","旅客投诉、","货主投诉","新闻媒体曝光；","舆情反映",""
"270","《太原局集团有限公司客运服务质量监督检查管理办法》规定：(   )；为服务质量严重问题。","AB","责任造成旅客、货主轻伤害但未构成事故的","责任造成旅客、货主轻伤害但未构成事故的","责任造成旅客、货主轻伤害构成事故的","责任造成旅客、货主轻伤害构成事故的",""
"271","《太原局集团有限公司客运服务质量监督检查管理办法》规定：(   )；为服务质量严重问题。","ABCD","站、车设备、设施、备品故障、缺损，严重影响服务质量，旅客、货主反映强烈的；","利用职权运输无票人员、货物、勒卡、索要旅客、货主钱物，情节较重的；","销售集团公司限制销售的饮食品，造成不良影响的；","站、车工作人员在工作中刁难、打骂旅客、货主造成较大影响或轻伤害但未构成事故的；",""
"272","《太原局集团有限公司客运服务质量监督检查管理办法》规定：(   )但未构成安全事故的；为服务质量严重问题。","ABCD","责任造成旅客10人及以上漏乘","责任造成旅客10人及以上误乘","责任造成旅客10人及以上误降","责任造成旅客10人及以上越站",""
"273","《太原局集团有限公司客运服务质量监督检查管理办法》规定：(   )但未构成安全事故的；为服务质量严重问题。","ABC","责任造成旅客、货主财产损坏、丢失、被盗，情节较重的；","违反国家和铁路有关收费标准、规定，乱收费造成较大不良影响的。","违反国家和铁路有关收费标准、规定，乱加价造成较大不良影响的。","违反国家和铁路有关收费标准、规定，乱收费、乱加价未造成影响的。",""
"274","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（    ）为一般A类问题。","ABCD","国铁集团网络监察动态通报（未定性）的问题；","旅客、货主投诉、新闻媒体曝光或舆情反映，在社会上造成不良影响的责任问题；","责任造成旅客10人以下漏乘、误乘、误降、越站但未构成安全事故的；","责任造成旅客列车始发晚点或站延的；",""
"275","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（    ）为一般A类问题。","ABCD","站、车工作人员在工作中与旅客、货主发生争吵造成不良影响的；","责任造成旅客、货主财产损坏、丢失、被盗，情节较轻的；","所售预包装食品不符合集团公司要求的；","站车厕所脏、乱、差，异味重；",""
"276","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（  ）为一般B类问题。","ABCD","工作人员使用服务忌语，举止粗鲁，有意冒犯，不尊重旅客的。","进站口开口数量不足，导致旅客进站时间超过10分钟的。","检票口放行无票、日期车次不符、减价不符人员进站的。","站台引导组织不到位，导致旅客上错站台的",""
"277","《太原局集团有限公司客运服务质量监督检查管理办法》规定车站引导系统、时钟系统、广播系统、揭示（    ），影响旅客方便出行的。为一般B类问题。","ABCD","揭挂管理不到位","内容更新不用时","出现该播不播、该显示不显示、","该揭挂不揭挂或信息不完整",""
"278","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（  ）为一般B类问题。","ABCD","工作人员着奇装异服，浓装艳抹，敞胸露怀，理奇异发型的。","售票窗口日常排队办理客票业务人数超过20人，有增开售票窗口条件而未增开的。","列车晚点后，站车未按规定办理退票、改签或落实逢餐点免费供餐等应急处置措施的。","站车厕所设备设施故障，地面积水，影响使用或有小广告，有异味。",""
"279","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（  ）为一般C类问题。","ABCD","工作人员未落实仪容整洁，统一着装标准的。","对重点旅客做不到重点关注，优先照顾，“三知三有”不落实的。","售票窗口不排队，购票秩序混乱的。","工作人员不落实文明服务用语、举止标准的。",""
"280","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（  ）为一般C类问题。","ABCD","车站引导系统、时钟系统、广播系统、揭示揭挂维护不到位，出现错误信息，可能误导旅客的。","进站口拥堵，旅客进站秩序混乱的。","旅客乘降不组织先下后上，车门口秩序混乱的。","验证、检票口不落实电子客票验证、检票进出站作业标准，不通过设备查验旅客购票信息或漏验、漏检的。",""
"281","《太原局集团有限公司客运服务质量监督检查管理办法》规定：（  ）为一般C类问题。","ABCD","站车厕所服务备品配备不齐全、地面湿滑，车站厕所通风不良。","站车卫生做不到随脏随扫，视力范围内有明显垃圾。","列车晚点后，站车未按规定公告道歉的。","不落实《铁路旅客运输服务质量规范》的其他问题。",""
"282","《太原局集团有限公司客运服务质量监督检查管理办法》规定： (   )日常检查和验收发现的问题及其他均为服务质量问题的来源。","ABCD","媒体曝光（广播、电视、报纸等传统媒体）","网络舆情（互联网、微博、微信等新媒体）","国铁集团服务质量通报（网络监察通报）","旅客投诉；",""
"283","无法交付物品是指无法交付旅客的遗失物品和无人领取的暂存物品。","A","对","错","","",""
"284","《客运车站无法交付物品管理办法》规定  遗失物品、暂存物品从收到日起，车站对（   ）天内仍无人领取的物品进行通告，通告（    ）天以后仍无人领取时，确认为无法交付物品。","C","30","60","90","180",""
"285","《客运车站无法交付物品管理办法》规定  无法交付物品管理应坚持（    ）、按章处理的原则。","ABCD","物归原主","动态写实","妥善保管","合法移交",""
"286","《客运车站无法交付物品管理办法》规定  无法交付物品管理小组负责无法交付物品（    ）等管理工作，小组办公室设在客运职能科室，负责无法交付物品日常管理、审核等相关工作。","ABC","变卖处所选定","变卖过程监督","变卖进款处理","变卖款额支配",""
"287","《客运车站无法交付物品管理办法》规定  遗失物品、暂存物品从收到日起，对（   ）天内仍无人领取的物品，车站应在失物招领处明显位置进行通告。","C","30","60","90","180",""
"288","《客运车站无法交付物品管理办法》规定  为提高无主物品认领率，各车站应采用微博、微信等方式发布通告信息，便于旅客查找和认领。","A","对","错","","",""
"289","《客运车站无法交付物品管理办法》规定  产生无法交付物品，各车站应实行（   ），做到账物相符，按照规定期限妥善保管，不得隐瞒不报或私自处理，无法交付行包不得顶件运输、顶件交付。","ABCD","分区管理","隔离设置","单独存放","并建立无法交付物品台账",""
"290","《客运车站无法交付物品管理办法》规定 对于通告满90日仍无人领取的无法交付物品，各车站（车间）应填制(   )，报所属站段主管科室进行审批。","A","无法交付物品审核表》","客运记录","电子客运记录","台账",""
"291","《客运车站无法交付物品管理办法》规定各站段无法交付物品管理领导小组原则上应通过招标的方式选定无法交付行包的变卖处所，变卖处所必须在相关部门登记注册，具有相关营业资质，年审合格，经营范围符合相关规定。","A","对","错","","",""
"292","《客运车站无法交付物品管理办法》规定  对无法交付物品的变卖，对变卖所得款项，扣除所发生的保管费、变卖手续费等费用的剩余款额，旅客（   ）天以内来领取时，承运人凭旅客出具的物品所有权的书面证明办理退款手续。不来领取时，按规定上缴。","D","30","60","90","180",""
"293","《客运车站无法交付物品管理办法》规定  各单位管内没有具有资质便卖处所，可委托其他单位对无法交付物品进行变卖，并指定专人全程参与变卖过程。","A","对","错","","",""
"294","《客运车站无法交付物品管理办法》规定  对（   ）、各种证件以及国家法令规定不能买卖的物品，不得变卖。","ABCD","军用品","危险品","国家禁止和限制运输的物品","机要文件",""
"295","《客运车站无法交付物品管理办法》规定  对不得变卖的物品应及时交（   ）处理，对旅客购票需出示的有效证件，应设法联系交由旅客。","D","客运科","公安","客运部","有关部门",""
"296","《客运车站无法交付物品管理办法》规定  对（    ）。","ABC","药品不得变卖，应销毁处理","对鲜活不易长期保管的物品应及时处理","对易腐烂变质等不易长期保管的物品应及时处理","其他物品",""
"297","《太原局集团有限公司客运设备设施管理办法》（太铁客【2020】40号）规定 客运设备管理工作应围绕以旅客为中心，本着让旅客出行体验更美好的目标，坚持（    ）的原则，推行客运设备一体化管理、专业化维护。","D","“安全第一、先进高效”","“、科学规范、保障有力”","“安全第一、科学规范”","“安全第一、先进高效、科学规范、保障有力”",""
"298","《太原局集团有限公司客运设备设施管理办法》规定 客票设备主要包括（    ）扫描枪、证件识读器、售票桌椅等）、客票席位自助办理终端、售票终端防护设备等，以及相关配套管线。","ABCD","自动售取票机、自动检票机","实名制验证设备设施","人工售补票设备（含制票机","电脑、窗口对讲设备、",""
"299","《太原局集团有限公司客运设备设施管理办法》规定 客运电梯是指铁路客运车站为旅客服务的电梯（不含基坑、集水井、垂直电梯井道以及相关附属设备设施）,包括（   ）。","AB","垂直电梯","自动扶梯","办公用电梯","生产用电梯",""
"300","《太原局集团有限公司客运设备设施管理办法》规定安检设备包括安检仪（含延长装置、摄像机）、安全门（含摄像机）、（      ）防爆毯、处置台等。","ABCD","爆炸物测探仪","液体检查仪","手持金属探测仪","防爆罐",""
"301","《太原局集团有限公司客运设备设施管理办法》规定  饮水设备包括（     ）。","ABC","站房内供旅客使用的电加热饮水设备","直饮水设备","非空调列车配备的保温桶","",""
"302","《太原局集团有限公司客运设备设施管理办法》规定移动作业终端包括（     ）等。","ABC","音视频记录仪","对讲机","手持作业终端","",""
"303","《太原局集团有限公司客运设备设施管理办法》规定 工作人员要注意保持客票设备终端外部的清洁，（   ）按规定对其进行保洁。","A","每日","每周","每旬","每月",""
"304","《太原局集团有限公司客运设备设施管理办法》规定加强对自动售取票机、自动检票机、实名制验证设备的巡视，指导旅客使用，防止操作不当损坏设备。发现旅客进行破坏性操作，应及时制止。","A","对","错","","",""
"305","《太原局集团有限公司客运设备设施管理办法》规定当班客运人员如发现客票设备故障时，及时通知（   ）进行处理。","A","维修人员","客运值班员","客运主任","站长",""
"306","《太原局集团有限公司客运设备设施管理办法》规定 建设有旅服系统的客运车站应配备专兼职综控人员，综控员要熟练掌握旅服系统操作流程。","A","对","错","","",""
"307","《太原局集团有限公司客运设备设施管理办法》规定  遇列车晚点、变更、调图等情况及时调整车次等信息时综控员负责具体操作，确保旅服系统信息准确无误。","A","对","错","","",""
"308","《太原局集团有限公司客运设备设施管理办法》规定 加强对旅服系统运行状态的监视，发现广播、显示屏等终端异常情况时进行应急处理。如出现不能解决的故障时，要（    ）。","AB","立即通知维护单位","并做好相关记录","立即通知客运值班员","立即通知客运主任",""
"309","《太原局集团有限公司客运设备设施管理办法》规定对旅服设备设施要爱护，（    ）。","ABCD","认真执行操作规程","认真执行日常保洁制度","做好交接班","杜绝人为故障",""
"310","《太原局集团有限公司客运设备设施管理办法》规定  做好智能查询设备资料库信息定期更新，确保终端信息正确有效。","A","对","错","","",""
"311","《太原局集团有限公司客运设备设施管理办法》规定 站车(     )。","AB","要掌握广播系统的使用状态","有异常现象，及时联系维护单位恢复","通知客运值班员","通知客运员",""
"312","《太原局集团有限公司客运设备设施管理办法》规定工具备品要（    ）备品管理要做到管理有制度、日常有检查、有考核。","ABCD","定置管理","摆放整齐","干净、清洁","无破损，",""
"313","《太原局集团有限公司客运设备设施管理办法》规定  交接班时，要对照登记项点逐一检查，将工具备品损坏、缺少情况填写在交班工作日志上，做到（    ）。","ABD","交必交清","接必接明","交后负责","接后负责",""
"314","《太原局集团有限公司客运设备设施管理办法》规定 工具备品损坏时要（       ）。","ABC","及时维修","反馈信息","确因产品质量问题损坏时，要及时与厂家联系进行维修","确因产品质量问题损坏时，要及时作好记录修",""
"315","《太原局集团有限公司客运设备设施管理办法》规定 各站段要严格工具备品考核管理，发现没有定置管理或交接班不达标时，追究有关人员责任。","A","对","错","","",""
"316","《太原局集团有限公司客运设备设施管理办法》规定  客运站车针对可能引发人身伤害的服务备品（剪刀、针线包、壁纸刀等）必须（   ）。","A","隐蔽保管","定位存放","专人保管","封闭保管",""
"317","《太原局集团有限公司客运设备设施管理办法》规定  各类应急备品（消防锤、消防斧、破拆钩等）必须（   ）。","B","隐蔽保管","定位存放","专人保管","封闭保管",""
"318","《太原局集团有限公司客运设备设施管理办法》规定  站车所有可能引发人身伤害的工具备品一律外借必须登记。","B","对","错","","",""
"319","《太原局集团有限公司客运设备设施管理办法》规定  升降平台使用前必须检查（    ），确保人身安全。","ABC","漏电保护器","升性能是否良好","降性能是否良好","运行",""
"320","《太原局集团有限公司客运设备设施管理办法》规定   使用升降平台作业时，（   ）。","ABC","须配备防护人员监护","须配备防护人员配合","确保作业人员安全","可无人防护",""
"321","《太原局集团有限公司客运设备设施管理办法》规定   升降平台作业时，（    ）。","AB","周围须使用隔离设施设置隔离区域","隔离区域内无闲杂人员进出","隔离区域内无人员","隔离区域内可无人员",""
"322","《太原局集团有限公司客运设备设施管理办法》规定   登高作业时，（     ）。","ABCD","必须定位固定支撑平稳","严禁在操作台做剧烈的人为晃动","登高作业人员必须配备安全带，站稳抓牢","严禁身体悬空作业",""
"323","《太原局集团有限公司客运设备设施管理办法》规定   登高作业时，整机不得水平移动交换作业点。","A","对","错","","",""
"324","《太原局集团有限公司客运设备设施管理办法》规定   登高作业时，操作台上人员（    ）。","ABCD","不得超过两人","应位于中心位置","抓好站稳","防止发生意外",""
"325","《太原局集团有限公司客运设备设施管理办法》规定   （    ）。","ABCD","严禁升降平台带病作业","严禁在操作台上带电作业","风力超过五级时，不得在室外作业","使用水管冲高空玻璃时，必须将电机盖严，防止漏电",""
"326","《太原局集团有限公司客运设备设施管理办法》规定  管理人员（   ）对机器表面卫生进行一次清洁。","B","每日","每周","每旬","每月",""
"327","《太原局集团有限公司客运设备设施管理办法》规定  管理人员对机器（   ）试验一次，以随时保持正常运转，并对机械传动部位点油润滑。","D","每日","每周","每旬","每月",""
"328","《太原局集团有限公司客运设备设施管理办法》规定  发现机器故障，（     ）。","ABCD","不得随意拆卸，通知厂家进行维修","并做好记录","每次使用完毕，要注意保持清洁","固定位置锁闭存放",""
"329","《太原局集团有限公司客运设备设施管理办法》规定  （    ）使用前要检查设备状态，状态不良时禁止使用。","ABCD"," 行包牵引车","拖车","其他装卸、搬运机具","其他提升机具",""
"330","《太原局集团有限公司客运设备设施管理办法》规定   站台作业时，严格遵守《客运车站站内作业车辆管理办法》相关要求。","A","对","错","","",""
"331","《太原局集团有限公司客运设备设施管理办法》规定    计量设备设在行包房、进出站口处，分别由站段指定的（     ）负责保管。","C","客运值班员","客运人员","行李员和进出站口客运员","客运负责人",""
"332","《太原局集团有限公司客运设备设施管理办法》规定  （    ）。","ABCD"," 不得使用鉴定不合格或超使用周期的计量设备","不得外借和挪作他用","因使用、保管不当造成丢失、损坏追究相关人员责任","严重腐蚀的追究相关人员责任",""
"333","《太原局集团有限公司客运设备设施管理办法》规定   行包设备的维修由各使用单位负责，故障时及时组织维修，并做好维修保养记录。","A","对","错","","",""
"334","《太原局集团有限公司客运设备设施管理办法》规定   在用的电梯（    ）。","ABC","每年必须经特种设备检验检测机构检验合格后方可使用","未经定期检验或检验不合格的电梯不得继续使用","无有效合格标志的客运电梯，不得继续使用","",""
"335","《太原局集团有限公司客运设备设施管理办法》规定   电梯使用单位电梯安全管理人员应取得相应项目的《特种设备作业人员证》。","A","对","错","","",""
"336","《太原局集团有限公司客运设备设施管理办法》规定   （     ），发现违反规定的行为应及时制止，杜绝一切不利于电梯安全运行的行为。","A","严禁利用客运电梯载运货物","严禁多人乘梯","严禁利用客运电梯载运旅客","",""
"337","《太原局集团有限公司客运设备设施管理办法》规定   各站段必须（     ）按规定程序对电梯进行巡检，检查确认正常后方可投入运行。","A","每日","每周","每旬","每月",""
"338","《太原局集团有限公司客运设备设施管理办法》规定  电梯明显位置（    ）。","ABC","应设置旅客安全乘坐须知","应设置旅客警示标志，客流高峰时电梯运行必须有人监护","客流高峰时电梯运行必须有人监护","客流高峰时电梯运行只需做好宣传",""
"339","《太原局集团有限公司客运设备设施管理办法》规定   电梯突发故障危及运行安全时，车站工作人员应（      ）。客运电梯经排除故障、消除隐患后，方可继续使用。","ABCD","立即关停电梯","设置“故障停用”警示牌","做好防护","并立即通知维保单位进行全面检查",""
"340","《太原局集团有限公司客运设备设施管理办法》规定   同一处所多部电梯应分时段交替使用，原则上不得单梯长时间运行，以利于延长设备使用寿命。","A","对","错","","",""
"341","《太原局集团有限公司客运设备设施管理办法》规定   电梯故障维修、维保作业时，直梯各层站、扶梯上下出入口作业区域(    )，防止闲杂人员误闯入。","A","应设置隔离围挡","安排人员防护","可安排人员防护","必须安排人员防护",""
"342","《太原局集团有限公司客运设备设施管理办法》规定   站台电梯作业时，隔离围挡要固定牢固，防止被风吹落股道。","A","对","错","","",""
"343","《太原局集团有限公司客运设备设施管理办法》规定   车站进站口，站外通往贵宾室、商务座候车室的专用通道应配安检仪和安检门；发送行包50件以上的车站行包房应配备安检仪。","A","对","错","","",""
"344","《太原局集团有限公司客运设备设施管理办法》规定    (    )。","ABCD","车站进站口安检区域应按规定配置手持金属探测器","防爆罐和防爆毯","反恐重点车站还应配备爆炸品探测仪","反恐重点车站还应配备液体探测仪",""
"345","《太原局集团有限公司客运设备设施管理办法》规定    安检设备由具备专业安防资质的维护单位负责，各站段应与维保单位签订维保协议，设备发生故障及时通知设备维护单位派员进行维修，并做好设备维修记录。","A","对","错","","",""
"346","《太原局集团有限公司客运设备设施管理办法》规定    各站段应对首次上岗的铁路职工安检查危人员应进行（     ）。实行安检业务外包的车站，培训工作由外包单位负责。","ABCD","安全知识培训","业务知识培训","实作技能培训","每年组织岗位适应性培训",""
